LatDD,LonDD
51.045555713333336,13.775233323333335
51.045561326666665,13.77521954
51.04556688166666,13.775205616666664
51.04557252333333,13.775191806666669
51.04557817,13.775178021666667
51.04558376833335,13.77516426
51.045589338333336,13.7751504
51.04559493500001,13.775136609999997
51.045600488333335,13.775123066666668
51.04560597500001,13.77510925666667
51.04561153166666,13.775095798333332
51.04561696999999,13.775082240000001
51.04562245833334,13.775068724999999
51.04562801,13.775055128333333
51.045633439999996,13.775041796666665
51.04563876666666,13.775028291666665
51.04564416833333,13.775014906666668
51.04564934166667,13.77500114333333
51.045654776666666,13.774987938333334
51.04566003833334,13.7749745
51.045665238333335,13.774961128333336
51.045670619999996,13.774947981666669
51.045675775,13.774934631666667
51.045681091666665,13.774921595
51.04568636166667,13.774908484999996
51.04569157000001,13.774895298333336
